============ TABLE 4: SORTED BY CUSTOM ASYMMETRIC VALUE SCORE ============

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
KERVN   |      2.08       N/A      2.08  |       1.15  -28405.40 |       0.6209
VKGYO   |     11.27       N/A     11.27  |       0.31       6.08 |       0.6261
PETUN   |     15.43       N/A     15.43  |       0.31       0.30 |       0.6293
SKBNK   |      6.06       N/A      6.06  |       0.87       1.02 |       0.6301
DOAS    |     13.81      1.71     10.18  |       0.60       0.16 |       0.6340
YKSLN   |      3.80       N/A      3.80  |       1.51       1.19 |       0.6462
GSDDE   |      8.82       N/A      8.82  |       0.62       2.97 |       0.6608
AYES    |      4.41       N/A      4.41  |       1.49       0.38 |       0.6663
AKGRT   |      4.52      5.80      4.90  |       1.39       0.61 |       0.6768
TATGD   |     12.33       N/A     12.33  |       0.57       0.53 |       0.6886
MERIT   |      7.21       N/A      7.21  |       0.29      16.45 |       0.6990
BESLR   |     15.56       N/A     15.56  |       0.44       0.25 |       0.7039
TRGYO   |     11.12      2.27      8.47  |       0.64       5.50 |       0.7094
KATMR   |     13.75       N/A     13.75  |       0.48       2.16 |       0.7099
PAHOL   |      9.50       N/A      9.50  |       0.61       4.66 |       0.7106
KRSTL   |      7.01       N/A      7.01  |       0.98       0.59 |       0.7113
INFO    |      5.11       N/A      5.11  |       1.54       0.28 |       0.7199
BLCYT   |     13.80       N/A     13.80  |       0.45       3.54 |       0.7228
AVPGY   |     14.02       N/A     14.02  |       0.46       2.93 |       0.7229
TCELL   |     11.76      7.93     10.61  |       0.74       0.88 |       0.7385
SAHOL   |     21.76      3.04     16.14  |       0.46       0.67 |       0.7390
GENTS   |      7.63       N/A      7.63  |       0.99       0.80 |       0.7569
GARFA   |      4.39       N/A      4.39  |       1.76       2.78 |       0.7794
ASGYO   |      1.25       N/A      1.25  |       0.27      31.82 |       0.7844
MOGAN   |     15.88       N/A     15.88  |       0.48       3.12 |       0.7936
SANKO   |      7.74       N/A      7.74  |       1.14       0.49 |       0.7959
YUNSA   |     10.44       N/A     10.44  |       0.86       1.29 |       0.8073
SKTAS   |     15.14       N/A     15.14  |       0.62       0.99 |       0.8076
A1YEN   |     16.50       N/A     16.50  |       0.47       3.34 |       0.8102
BULGS   |      5.37       N/A      5.37  |       1.27       7.57 |       0.8158
GIPTA   |      3.46       N/A      3.46  |       2.14       3.30 |       0.8258
NTGAZ   |      7.71       N/A      7.71  |       1.27       0.95 |       0.8343
TUKAS   |     18.18       N/A     18.18  |       0.52       1.04 |       0.8393
KOTON   |      7.08       N/A      7.08  |       1.51       0.31 |       0.8416
INDES   |     10.38       N/A     10.38  |       0.97       0.08 |       0.8426
KRVGD   |     15.80       N/A     15.80  |       0.68       0.34 |       0.8452
FROTO   |      9.00      0.43      6.43  |       1.70       0.34 |       0.8478
DESA    |      8.74       N/A      8.74  |       1.07       1.23 |       0.8564
LMKDC   |      7.53       N/A      7.53  |       1.38       1.37 |       0.8593
KCHOL   |     20.34      6.54     16.20  |       0.69       0.18 |       0.8616
AYGAZ   |     11.46     19.32     13.82  |       0.82       0.79 |       0.8741
LILAK   |     10.63       N/A     10.63  |       0.99       1.29 |       0.8824
ASUZU   |     14.67       N/A     14.67  |       0.80       0.45 |       0.8825
HALKB   |      8.87      8.38      8.72  |       1.19       1.59 |       0.8932
ALARK   |     23.89      3.91     17.90  |       0.50       4.78 |       0.8975
ISMEN   |      7.57       N/A      7.57  |       1.64       0.03 |       0.9004
RYGYO   |      4.85       N/A      4.85  |       0.81      19.21 |       0.9010
GLYHO   |      6.03       N/A      6.03  |       1.97       1.13 |       0.9055
AEFES   |     14.78      0.71     10.56  |       1.08       0.52 |       0.9136
FORTE   |      3.01       N/A      3.01  |       2.64       3.90 |       0.9320
YYLGD   |     19.42       N/A     19.42  |       0.66       0.43 |       0.9411
EGEGY   |      4.93       N/A      4.93  |       2.41       1.30 |       0.9478
YIGIT   |     15.42       N/A     15.42  |       0.89       0.51 |       0.9544
KOCMT   |     11.89       N/A     11.89  |       1.07       0.82 |       0.9547
TURSG   |      5.86      1.79      4.64  |       2.53       1.25 |       0.9566
CONSE   |     16.71       N/A     16.71  |       0.81       1.17 |       0.9582
AKFYE   |     21.05       N/A     21.05  |       0.46       4.71 |       0.9639
PNLSN   |     12.04       N/A     12.04  |       1.07       1.13 |       0.9671
DZGYO   |      9.32       N/A      9.32  |       0.51      20.76 |       0.9714
PAGYO   |      8.60       N/A      8.60  |       0.85      12.67 |       0.9758
EGGUB   |     13.08       N/A     13.08  |       0.98       2.64 |       0.9764
BASGZ   |     15.94       N/A     15.94  |       0.90       0.61 |       0.9773
PCILT   |      8.16       N/A      8.16  |       1.78       0.34 |       0.9791
GOKNR   |     19.81       N/A     19.81  |       0.74       0.54 |       0.9997
EUREN   |     19.70       N/A     19.70  |       0.73       1.04 |       1.0008
KRGYO   |     10.83       N/A     10.83  |       0.95       8.23 |       1.0054
TRCAS   |      7.73     31.56     14.88  |       0.67        N/A |       1.0063
GWIND   |     15.64       N/A     15.64  |       0.83       4.51 |       1.0090
AKMGY   |     13.90       N/A     13.90  |       0.82       7.70 |       1.0116
OSMEN   |     15.02       N/A     15.02  |       1.04       0.12 |       1.0141
BIOEN   |      4.54       N/A      4.54  |       2.64       3.06 |       1.0147
CIMSA   |     12.56      7.50     11.04  |       1.22       0.93 |       1.0163
AFYON   |     21.30       N/A     21.30  |       0.67       1.31 |       1.0195
KARSN   |     14.46       N/A     14.46  |       1.12       0.46 |       1.0524
ZEDUR   |     17.59       N/A     17.59  |       0.60      10.70 |       1.0612
AVTUR   |     10.51       N/A     10.51  |       0.49      24.50 |       1.0697
MGROS   |     15.38      7.67     13.07  |       1.28       0.26 |       1.0924
PSGYO   |     12.57       N/A     12.57  |       0.53      21.63 |       1.0934
OYAKC   |     11.28       N/A     11.28  |       1.42       1.84 |       1.1221
BRKSN   |     22.88       N/A     22.88  |       0.82       0.87 |       1.1412
AGYO    |     30.25       N/A     30.25  |       0.31       4.20 |       1.1414
AHSGY   |      4.32       N/A      4.32  |       1.44      25.33 |       1.1471
YATAS   |     26.29     44.05     31.62  |       0.39       0.27 |       1.1519
RAYSG   |      6.78       N/A      6.78  |       2.84       0.82 |       1.1642
IDGYO   |      7.23       N/A      7.23  |       1.12      21.02 |       1.1683
ORGE    |     10.80     10.49     10.71  |       1.78       2.15 |       1.1811
SURGY   |     11.82       N/A     11.82  |       1.16        N/A |       1.1839
TAVHL   |     16.70     13.52     15.74  |       1.27       1.20 |       1.1878
CGCAM   |     14.42       N/A     14.42  |       1.28       2.87 |       1.1879
GEDIK   |      8.83       N/A      8.83  |       2.49       0.03 |       1.1945
ENERY   |     13.11       N/A     13.11  |       1.40       2.34 |       1.2001
BNTAS   |     23.70       N/A     23.70  |       0.91       1.17 |       1.2234
TNZTP   |     16.36       N/A     16.36  |       1.25       3.22 |       1.2346
BOSSA   |     28.55       N/A     28.55  |       0.69       1.25 |       1.2462
RYSAS   |     11.98       N/A     11.98  |       1.65       3.49 |       1.2566
AKSA    |     11.47     20.73     14.25  |       1.48       1.46 |       1.2643
TOASO   |     11.75      8.54     10.78  |       2.26       0.31 |       1.2678
ARTMS   |     17.84       N/A     17.84  |       1.18       5.21 |       1.2793
ODAS    |     38.57      7.36     29.21  |       0.72       1.20 |       1.2811
MPARK   |     13.58      8.31     12.00  |       1.93       1.39 |       1.2856
MTRKS   |     10.56       N/A     10.56  |       2.27       1.97 |       1.2908
ENKAI   |     13.67     23.33     16.57  |       1.36       3.24 |       1.3000
YBTAS   |      9.50       N/A      9.50  |       2.62       2.35 |       1.3159
ISDMR   |     23.52       N/A     23.52  |       1.10       1.23 |       1.3191
KLNMA   |     10.02       N/A     10.02  |       2.33       5.10 |       1.3333
BASCM   |     23.22       N/A     23.22  |       1.15       0.80 |       1.3337
GLCVY   |     13.89       N/A     13.89  |       1.69       0.89 |       1.3392
LKMNH   |     21.54       N/A     21.54  |       1.28       0.69 |       1.3503
TBORG   |     14.17       N/A     14.17  |       1.67       1.03 |       1.3548
ENJSA   |     24.39     17.14     22.21  |       1.26       0.56 |       1.3597
MAVI    |     16.48      2.35     12.24  |       2.23       0.64 |       1.3614
KLSYN   |     15.57       N/A     15.57  |       1.55       2.74 |       1.3639
EGPRO   |     13.77       N/A     13.77  |       1.81       1.43 |       1.3729
TUPRS   |     17.15     14.21     16.27  |       1.61       0.64 |       1.3745
ZRGYO   |     10.92       N/A     10.92  |       1.07      23.61 |       1.3828
AYEN    |     37.71       N/A     37.71  |       0.46       1.17 |       1.3882
ANHYT   |      7.51      6.77      7.29  |       3.57       1.20 |       1.3889
TLMAN   |     29.07       N/A     29.07  |       0.89       2.22 |       1.3902
ARASE   |     24.64       N/A     24.64  |       1.23       0.79 |       1.4184
YGGYO   |     10.20       N/A     10.20  |       1.75      16.10 |       1.4185
MNDRS   |     45.00       N/A     45.00  |       0.18       0.34 |       1.4270
GENKM   |     29.97       N/A     29.97  |       0.95       1.35 |       1.4332
DAPGM   |     21.88       N/A     21.88  |       1.34       2.63 |       1.4343
TEZOL   |     34.37       N/A     34.37  |       0.79       0.94 |       1.4639
ELITE   |     21.10       N/A     21.10  |       1.49       1.52 |       1.4683
MOBTL   |     19.84       N/A     19.84  |       1.59       0.87 |       1.4751
BRKVY   |     11.21       N/A     11.21  |       2.91       2.34 |       1.4990
OZGYO   |     40.80       N/A     40.80  |       0.26       8.60 |       1.5145
MACKO   |      7.90       N/A      7.90  |       3.80       3.10 |       1.5241
AKSEN   |     15.78     17.03     16.15  |       1.80       2.91 |       1.5255
EKDMR   |     34.53       N/A     34.53  |       0.93       0.73 |       1.5392
SMRVA   |     12.31       N/A     12.31  |       2.70       3.60 |       1.5443
FRMPL   |     26.00       N/A     26.00  |       1.38       1.50 |       1.5515
OZSUB   |     10.41       N/A     10.41  |       3.40       1.41 |       1.5524
CWENE   |     14.49       N/A     14.49  |       2.32       2.15 |       1.5606
FADE    |     41.08       N/A     41.08  |       0.63       1.23 |       1.5781
GLRMK   |     14.35       N/A     14.35  |       2.53       1.04 |       1.5814
TRENJ   |     21.49       N/A     21.49  |       1.71       1.13 |       1.5932
BESTE   |     23.73       N/A     23.73  |       1.20      12.06 |       1.6015
GSDHO   |     47.80       N/A     47.80  |       0.32       0.98 |       1.6035
MERCN   |     26.23       N/A     26.23  |       1.48       1.36 |       1.6100
CCOLA   |     14.29      9.64     12.89  |       3.02       1.31 |       1.6163
AHGAZ   |     24.70       N/A     24.70  |       1.58       1.43 |       1.6266
TRMET   |     21.73       N/A     21.73  |       1.73       2.28 |       1.6348
AGESA   |      7.12     13.38      9.00  |       4.21       0.90 |       1.6528
LINK    |     14.45       N/A     14.45  |       2.62       3.52 |       1.6606
MEGMT   |     10.30       N/A     10.30  |       4.00       0.71 |       1.6800
BARMA   |     30.22       N/A     30.22  |       1.39       1.83 |       1.6873
OFSYM   |     26.89       N/A     26.89  |       1.64       0.42 |       1.6997
SAYAS   |     15.37       N/A     15.37  |       2.71       1.61 |       1.7050
ALVES   |     36.17       N/A     36.17  |       1.16       0.32 |       1.7056
TERA    |     19.86       N/A     19.86  |       2.08       0.30 |       1.7340
BIMAS   |     21.53      7.27     17.26  |       2.43       0.62 |       1.7356
ICBCT   |     13.37       N/A     13.37  |       3.23       3.30 |       1.7373
LOGO    |     18.85     10.31     16.29  |       2.59       2.17 |       1.7439
ATATP   |     10.05       N/A     10.05  |       4.48       0.91 |       1.7874
CMENT   |     35.21       N/A     35.21  |       1.42       1.51 |       1.8466
IZENR   |     39.55       N/A     39.55  |       1.18       2.50 |       1.8598
ATATR   |     23.56       N/A     23.56  |       2.03       4.59 |       1.9038
MOPAS   |     37.74       N/A     37.74  |       1.47       0.43 |       1.9265
GRTHO   |     16.76       N/A     16.76  |       3.02       4.41 |       1.9276
DERIM   |     19.84       N/A     19.84  |       2.55       0.44 |       1.9289
OZYSR   |     36.26       N/A     36.26  |       1.56       0.73 |       1.9405
DURKN   |     47.39       N/A     47.39  |       0.93       2.30 |       1.9497
GRSEL   |     18.51       N/A     18.51  |       2.95       3.16 |       1.9985
BALSU   |     19.48       N/A     19.48  |       2.90       0.91 |       2.0034
PINSU   |     47.32       N/A     47.32  |       1.09       1.10 |       2.0155
SEGMN   |     38.67       N/A     38.67  |       1.50       2.78 |       2.0162
EGEEN   |     29.35       N/A     29.35  |       1.96       3.96 |       2.0213
YEOTK   |     20.07       N/A     20.07  |       3.04       0.74 |       2.0731
TABGD   |     24.89       N/A     24.89  |       2.55       1.28 |       2.1628
PENTA   |     53.04       N/A     53.04  |       1.13       0.15 |       2.1871
GESAN   |     32.35       N/A     32.35  |       2.25       1.55 |       2.2204
TCKRC   |     17.26       N/A     17.26  |       3.89       6.98 |       2.2296
BRSAN   |     40.53       N/A     40.53  |       1.88       0.95 |       2.2444
SANEL   |     10.87       N/A     10.87  |       5.95       3.83 |       2.2689
KBORU   |     24.76       N/A     24.76  |       2.90       2.52 |       2.3711
FONET   |     25.80       N/A     25.80  |       2.86       5.38 |       2.4370
LUKSK   |     50.47       N/A     50.47  |       1.55       5.44 |       2.4465
AKCNS   |     71.00      8.22     52.16  |       1.65       1.83 |       2.4803
SAFKR   |     26.99       N/A     26.99  |       3.05       2.00 |       2.5088
PATEK   |     24.86       N/A     24.86  |       3.22       5.33 |       2.5190
ISKPL   |     23.31       N/A     23.31  |       3.74       4.45 |       2.5325
COSMO   |     19.34       N/A     19.34  |       5.02       1.27 |       2.5329
DNISI   |     55.41       N/A     55.41  |       1.50       4.22 |       2.5366
AAGYO   |     71.72       N/A     71.72  |       0.56       9.58 |       2.6105
VBTYZ   |     27.71       N/A     27.71  |       3.41       1.42 |       2.6729
HTTBT   |     26.77       N/A     26.77  |       3.43       6.01 |       2.7103
TRALT   |     27.85       N/A     27.85  |       3.31       6.99 |       2.7705
GEDZA   |     75.83       N/A     75.83  |       1.07       1.16 |       2.8440
CRDFA   |     13.86       N/A     13.86  |       6.89      11.41 |       2.8489
ISBIR   |     91.55       N/A     91.55  |       0.29       0.23 |       2.8580
NATEN   |     83.57       N/A     83.57  |       0.62       3.64 |       2.8736
NETCD   |     23.41       N/A     23.41  |       4.61      11.81 |       2.9032
SUNTK   |     39.92       N/A     39.92  |       3.10       1.89 |       2.9186
SARKY   |     67.14       N/A     67.14  |       1.82       0.27 |       2.9814
ZOREN   |       N/A       N/A       N/A  |       0.19       0.34 |       3.0529
EMKEL   |     53.76       N/A     53.76  |       2.61       2.81 |       3.0726
VESBE   |       N/A      1.27       N/A  |       0.24       0.14 |       3.0737
TATEN   |     58.75       N/A     58.75  |       2.29       4.61 |       3.0794
KAYSE   |       N/A       N/A       N/A  |       0.25       0.48 |       3.0864
BERA    |       N/A       N/A       N/A  |       0.27       0.45 |       3.0971
VESTL   |       N/A      2.41       N/A  |       0.29       0.06 |       3.0997
PNSUT   |       N/A     12.05       N/A  |       0.28       0.23 |       3.1017
EPLAS   |       N/A       N/A       N/A  |       0.28       0.44 |       3.1036
LRSHO   |       N/A       N/A       N/A  |       0.30       0.32 |       3.1122
IHEVA   |       N/A       N/A       N/A  |       0.31       0.19 |       3.1163
MARTI   |       N/A       N/A       N/A  |       0.30       1.36 |       3.1335
OZKGY   |       N/A      1.30       N/A  |       0.25       2.95 |       3.1375
GEREL   |     29.91       N/A     29.91  |       4.34       6.02 |       3.1422
PENGD   |       N/A       N/A       N/A  |       0.36       0.55 |       3.1504
RUBNS   |       N/A       N/A       N/A  |       0.37       0.82 |       3.1615
KLGYO   |       N/A       N/A       N/A  |       0.24       4.38 |       3.1620
TUCLK   |       N/A       N/A       N/A  |       0.39       0.77 |       3.1687
BAGFS   |       N/A     25.30       N/A  |       0.39       0.75 |       3.1711
AYDEM   |       N/A      3.13       N/A  |       0.39       1.33 |       3.1815
ULUUN   |    100.13       N/A    100.13  |       0.44       0.09 |       3.1875
CANTE   |       N/A       N/A       N/A  |       0.38       1.78 |       3.1876
MEPET   |       N/A       N/A       N/A  |       0.44       0.34 |       3.1906
BUCIM   |       N/A       N/A       N/A  |       0.44       0.62 |       3.1960
SNICA   |       N/A       N/A       N/A  |       0.45       0.66 |       3.2000
PARSN   |       N/A       N/A       N/A  |       0.43       1.17 |       3.2022
DYOBY   |       N/A       N/A       N/A  |       0.46       0.42 |       3.2037
SILVR   |       N/A       N/A       N/A  |       0.46       0.49 |       3.2044
ISSEN   |       N/A       N/A       N/A  |       0.46       0.64 |       3.2090
AKENR   |       N/A       N/A       N/A  |       0.50       0.35 |       3.2218
USAK    |       N/A       N/A       N/A  |       0.49       0.64 |       3.2246
DEVA    |       N/A       N/A       N/A  |       0.49       0.72 |       3.2248
LIDER   |     15.96       N/A     15.96  |       5.27      44.01 |       3.2295
HATEK   |       N/A       N/A       N/A  |       0.49       0.89 |       3.2295
DARDL   |       N/A       N/A       N/A  |       0.51       0.30 |       3.2302
OSTIM   |       N/A       N/A       N/A  |       0.43       2.92 |       3.2386
IHLAS   |       N/A       N/A       N/A  |       0.54       0.17 |       3.2404
BIENY   |       N/A       N/A       N/A  |       0.53       0.58 |       3.2422
KLMSN   |       N/A       N/A       N/A  |       0.55       0.30 |       3.2482
KONKA   |       N/A       N/A       N/A  |       0.51       1.52 |       3.2527
QNBTR   |     23.80       N/A     23.80  |       6.17       8.65 |       3.2552
PKART   |     31.11       N/A     31.11  |       4.98       1.08 |       3.2800
VRGYO   |       N/A       N/A       N/A  |       0.30       8.84 |       3.2823
TSPOR   |       N/A       N/A       N/A  |       0.53       2.65 |       3.2879
NUGYO   |       N/A       N/A       N/A  |       0.45       5.03 |       3.2904
PSDTC   |     28.25       N/A     28.25  |       4.68      14.63 |       3.2918
KZGYO   |       N/A       N/A       N/A  |       0.28        N/A |       3.2966
ERCB    |       N/A       N/A       N/A  |       0.63       0.56 |       3.2989
OZRDN   |     25.39       N/A     25.39  |       6.33       3.81 |       3.3015
TRILC   |       N/A       N/A       N/A  |       0.65       0.25 |       3.3024
ESEN    |       N/A       N/A       N/A  |       0.51       4.31 |       3.3052
ENTRA   |       N/A       N/A       N/A  |       0.49       4.93 |       3.3081
EUHOL   |       N/A       N/A       N/A  |       0.30   -3482.96 |       3.3081
UNLU    |       N/A       N/A       N/A  |       0.67       0.05 |       3.3106
PRKME   |       N/A       N/A       N/A  |       0.50       4.88 |       3.3137
CEMTS   |       N/A       N/A       N/A  |       0.65       0.72 |       3.3154
AGHOL   |       N/A      0.24       N/A  |       0.68       0.12 |       3.3202
KRONT   |     30.67       N/A     30.67  |       4.77       7.13 |       3.3207
ORMA    |       N/A       N/A       N/A  |       0.66       1.02 |       3.3240
SASA    |       N/A       N/A       N/A  |       0.63       2.26 |       3.3330
PETKM   |       N/A      4.54       N/A  |       0.71       0.52 |       3.3413
DOHOL   |     19.03    296.29    102.20  |       0.59       0.57 |       3.3416
KTSKR   |       N/A       N/A       N/A  |       0.65       2.64 |       3.3500
SELVA   |       N/A       N/A       N/A  |       0.71       0.95 |       3.3516
ENDAE   |       N/A       N/A       N/A  |       0.57       5.01 |       3.3530
IMASM   |       N/A       N/A       N/A  |       0.72       0.85 |       3.3564
BORSK   |       N/A       N/A       N/A  |       0.72       1.04 |       3.3588
ISGYO   |       N/A     59.49       N/A  |       0.45       8.53 |       3.3589
VERTU   |       N/A       N/A       N/A  |       0.40        N/A |       3.3595
SEGYO   |       N/A       N/A       N/A  |       0.48       8.08 |       3.3662
SERNT   |       N/A       N/A       N/A  |       0.74       1.21 |       3.3722
SOKM    |       N/A      4.03       N/A  |       0.79       0.11 |       3.3789
TMSN    |       N/A       N/A       N/A  |       0.61       5.18 |       3.3805
AVOD    |       N/A       N/A       N/A  |       0.78       0.61 |       3.3806
AGROT   |       N/A       N/A       N/A  |       0.72       2.56 |       3.3880
ALGYO   |       N/A       N/A       N/A  |       0.38      11.83 |       3.3891
HUNER   |       N/A       N/A       N/A  |       0.70       3.48 |       3.3936
KORDS   |       N/A     24.91       N/A  |       0.81       0.41 |       3.3956
ERBOS   |       N/A       N/A       N/A  |       0.81       0.56 |       3.4005
REEDR   |       N/A       N/A       N/A  |       0.70       3.73 |       3.4014
ARCLK   |       N/A      6.28       N/A  |       0.84       0.12 |       3.4068
ARDYZ   |     39.37       N/A     39.37  |       3.95       4.04 |       3.4110
AVGYO   |       N/A       N/A       N/A  |       0.63       6.20 |       3.4127
EYGYO   |       N/A       N/A       N/A  |       0.77       2.35 |       3.4136
GSRAY   |       N/A       N/A       N/A  |       0.84       0.84 |       3.4190
ECILC   |       N/A       N/A       N/A  |       0.70       4.74 |       3.4232
IHYAY   |       N/A       N/A       N/A  |       0.88       0.17 |       3.4277
IZMDC   |       N/A       N/A       N/A  |       0.89       0.28 |       3.4345
CEMAS   |       N/A       N/A       N/A  |       0.84       2.12 |       3.4451
YESIL   |       N/A       N/A       N/A  |       0.57    -308.39 |       3.4570
QUAGR   |       N/A       N/A       N/A  |       0.91       0.88 |       3.4594
FORMT   |       N/A       N/A       N/A  |       0.86       2.31 |       3.4610
BRISA   |       N/A      4.75       N/A  |       0.94       0.57 |       3.4692
FLAP    |       N/A       N/A       N/A  |       0.87       2.56 |       3.4697
KONTR   |       N/A       N/A       N/A  |       0.96       0.37 |       3.4774
DOFER   |       N/A       N/A       N/A  |       0.99       0.21 |       3.4875
EGSER   |       N/A       N/A       N/A  |       0.98       0.44 |       3.4913
OYLUM   |    107.86       N/A    107.86  |       0.56       0.81 |       3.4949
BRKO    |       N/A       N/A       N/A  |       0.64       9.98 |       3.4950
BOBET   |       N/A       N/A       N/A  |       1.01       0.62 |       3.5077
DENGE   |       N/A       N/A       N/A  |       0.94       2.54 |       3.5078
DOKTA   |       N/A       N/A       N/A  |       1.02       0.47 |       3.5098
ISGSY   |       N/A       N/A       N/A  |       0.68        N/A |       3.5130
AKYHO   |       N/A       N/A       N/A  |       0.85       5.30 |       3.5139
BAKAB   |       N/A       N/A       N/A  |       1.03       0.53 |       3.5158
ARENA   |       N/A       N/A       N/A  |       1.04       0.07 |       3.5173
ALKIM   |       N/A       N/A       N/A  |       1.04       0.93 |       3.5327
ATAGY   |       N/A       N/A       N/A  |       0.65      11.80 |       3.5358
ATAKP   |       N/A       N/A       N/A  |       1.02       1.86 |       3.5382
DGGYO   |       N/A       N/A       N/A  |       0.75       9.69 |       3.5476
DERHL   |       N/A       N/A       N/A  |       1.09       0.48 |       3.5481
TEKTU   |       N/A       N/A       N/A  |       0.41      19.38 |       3.5550
HKTM    |       N/A       N/A       N/A  |       1.07       1.36 |       3.5596
MAKTK   |       N/A       N/A       N/A  |       1.05       2.05 |       3.5608
MARBL   |       N/A       N/A       N/A  |       1.10       0.81 |       3.5628
BEGYO   |       N/A       N/A       N/A  |       0.51      17.44 |       3.5710
ECOGR   |       N/A       N/A       N/A  |       1.05       3.05 |       3.5774
DMSAS   |       N/A       N/A       N/A  |       1.15       0.51 |       3.5824
ORCAY   |       N/A       N/A       N/A  |       1.10       1.95 |       3.5853
RNPOL   |       N/A       N/A       N/A  |       1.15       0.72 |       3.5861
KFEIN   |       N/A       N/A       N/A  |       1.17       0.55 |       3.5947
YYAPI   |      1.44       N/A      1.44  |       0.28     172.62 |       3.6151
DURDO   |       N/A       N/A       N/A  |       1.19       0.94 |       3.6159
HOROZ   |       N/A       N/A       N/A  |       1.22       0.40 |       3.6175
BTCIM   |       N/A       N/A       N/A  |       1.17       1.94 |       3.6232
BINHO   |       N/A       N/A       N/A  |       0.88        N/A |       3.6261
ULUFA   |       N/A       N/A       N/A  |       0.89        N/A |       3.6310
OBAMS   |       N/A       N/A       N/A  |       1.25       0.61 |       3.6413
ANGEN   |       N/A       N/A       N/A  |       1.19       2.80 |       3.6490
EBEBK   |     73.50       N/A     73.50  |       2.71       0.47 |       3.6602
FRIGO   |       N/A       N/A       N/A  |       1.26       1.53 |       3.6629
BANVT   |       N/A       N/A       N/A  |       1.38       0.50 |       3.7098
SOKE    |       N/A       N/A       N/A  |       1.37       0.76 |       3.7114
ARSAN   |       N/A       N/A       N/A  |       0.48      25.56 |       3.7158
